,Kode Premis,Kalimat Premis,Kode Hypotesis,Kalimat Hypothesis,Anotator I,Anotator II,Anotator III,Anotator IV,Anotator V,Kesimpulan,Genre,Sumber
0,P3001,"Tiga kali Devano menikah, dan ketiga istrinya itu pun meninggal dengan mengenaskan",H31001,Devano adalah seorang pembunuh,contradiction,contradiction,neutral,neutral,contradiction,contradiction,Novel,Istri Tanpa Suami by Diganti Mawaddah
1,P3001,"Tiga kali Devano menikah, dan ketiga istrinya itu pun meninggal dengan mengenaskan",H31002,Devano tidak memiliki istri,contradiction,contradiction,contradiction,contradiction,neutral,contradiction,Novel,Istri Tanpa Suami by Diganti Mawaddah
2,P3001,"Tiga kali Devano menikah, dan ketiga istrinya itu pun meninggal dengan mengenaskan",H31003,Ketiga istri devano bunuh diri,contradiction,contradiction,neutral,contradiction,neutral,contradiction,Novel,Istri Tanpa Suami by Diganti Mawaddah
3,P3002,Berita   itu   sudah   terdengar   oleh   masyarakat Surabaya.  Kedatangan  kembali  ras  kulit putih  ke tanah Pulau  Jawa. ,H32001,Penduduk America mendatangi Pulau Jawa,contradiction,entailment,contradiction,contradiction,entailment,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
4,P3002,Berita   itu   sudah   terdengar   oleh   masyarakat Surabaya.  Kedatangan  kembali  ras  kulit putih  ke tanah Pulau  Jawa. ,H32002,Masyarakat Surabaya mendengar berita kedatangan ras kulit putih,neutral,neutral,neutral,neutral,contradiction,neutral,Novel,Neraka di Timur Jawa By Gelar Nugraha
5,P3002,Berita   itu   sudah   terdengar   oleh   masyarakat Surabaya.  Kedatangan  kembali  ras  kulit putih  ke tanah Pulau  Jawa. ,H32003,Ras kulit putih menyukai tanah Pulau Jawa,contradiction,contradiction,entailment,entailment,entailment,entailment,Novel,Neraka di Timur Jawa By Gelar Nugraha
6,P3003,"Mereka  yang  dalam  tiga  tahun  lalu  sudah meninggalkan Indonesia, kini sudah kembali ke Jakarta.",H33001,Ras Kulit putih datang ke Jakarta,neutral,neutral,neutral,contradiction,contradiction,neutral,Novel,Neraka di Timur Jawa By Gelar Nugraha
7,P3003,"Mereka  yang  dalam  tiga  tahun  lalu  sudah meninggalkan Indonesia, kini sudah kembali ke Jakarta.",H33002,Tiga tahun lalu Ras Kulit putih berada di jakarta,neutral,contradiction,contradiction,neutral,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
8,P3003,"Mereka  yang  dalam  tiga  tahun  lalu  sudah meninggalkan Indonesia, kini sudah kembali ke Jakarta.",H33003,Ras kulit putih ingin menjajah Indonesia,contradiction,contradiction,contradiction,neutral,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
9,P3004,Dia mendapati suaminya sedang bermain gila dengan wanita lain,H34001,Suaminya adalah orang gila,entailment,entailment,contradiction,entailment,entailment,entailment,Novel,Sang Petarung 9786027641150 
